<Task>: TaskNone, _&Tasks<1>_
<Task>: TaskNoel, _&Tasks<2>_
<Task>: TaskSTI , _&Tasks<3>_
<Task>: TaskMuseum , _&Tasks<6>_
<Task>: TaskRecep , _&Tasks<5>_
<Task>: TaskCalamba , _&Tasks<4>_
<Task>: TaskInk , _&Tasks<7>_
<Task>: TaskSambong , _&Tasks<8>_
<Task>: TaskMelisa , _&Tasks<9>_
<Task>: TaskFSStart , _&Tasks<10>_
<Task>: TaskFS1 , _&Tasks<11>_
<Task>: TaskFS2 , _&Tasks<12>_
<Task>: TaskFS3 , _&Tasks<13>_
<Task>: TaskHMed , _&Tasks<14>_
<Task>: TaskHMedCom , _&Tasks<15>_
<Task>: TaskSambongCom , _&Tasks<16>_
<Task>: TaskInkCom , _&Tasks<17>_
<Task>: TaskMoveFast , _&Tasks<18>_
<Task>: TaskA1 , _&Tasks<19>_
<Task>: TaskA2 , _&Tasks<20>_
<Task>: TaskA3 , _&Tasks<22>_
<Task>: TaskA4 , _&Tasks<23>_
<Task>: TaskA5 , _&Tasks<24>_
<Task>: TaskA6 , _&Tasks<25>_
<Task>: TaskSTIF , _&Tasks<26>_
<Task>: TaskMaria , _&Tasks<27>_
<Task>: TaskFS-Rozs , _&Tasks<29>_
<Task>: TaskFS-RCell , _&Tasks<28>_
<Task>: TaskFS-RKey , _&Tasks<30>_
<Task>: TaskFS-RJosephine , _&Tasks<31>_
