<StartEvent>: StartMaze

<ENABLESAVE>

<MapName>: _Maze 1_

<DRAWBACK>: 700
<LMOUSE>: 27
<HMOUSE>: 200
<FOG>: 0,100,0, 0

<OBJECT>: Wall1x5
<OBJECT>: Wall1x4
<OBJECT>: Wall1x3
<OBJECT>: Wall1x2
<OBJECT>: Wall1x1
<OBJECT>: Box2x2
<OBJECT>: Box3x2
<OBJECT>: Door1-1
<OBJECT>: Box1X1

<DUMMY>: D1,0,0,0

<CHARACTER>: Rozs, 30,0,6, n
<ANIMATION>: Wait, 1
<ANIMATION>: Walk, 8
<ANIMATION>: Run,  8
<ANIMATION>: Push, 8
<ANIMATION>: Dock, 8
<CHARACTER/>

//<SURFACE>:   Z1Ceiling, sky2,  -10,8,-10, 56,0,71, s
<SURFACE>:   Z3PLANE1,  stone3,  1,0,1, 30,0,30, s
<SURFACE>:   PLANEBox,  wall13,  1,0,1, 29,10,30, s

<layer1>:Wall1x2, 27,0,3, n, Wall7
<layer1>:Wall1x3, 27,0,7, w, Wall7
<layer1>:Wall1x1, 27,0,8, n, Wall7
<layer1>:Wall1x4, 27,0,11, n, Wall7
<layer1>:Wall1x4, 23,0,15, n, Wall7
<layer1>:Wall1x2, 24,0,3, n, Wall7
<layer1>:Wall1x1, 21,0,1, n, Wall7
<layer1>:Wall1x3, 28,0,17, w, Wall7
<layer1>:Wall1x3, 25,0,21, w, Wall7
<layer1>:Wall1x3, 25,0,22, n, Wall7
<layer1>:Wall1x1, 22,0,21, w, Wall7
<layer1>:Wall1x2, 22,0,23, n, Wall7
<layer1>:Wall1x5, 23,0,27, w, Wall7
<layer1>:Box2x2, 23,0,7, w, Wall7
<layer1>:Box2x2, 23,0,11, w, Wall7
<layer1>:Box2x2, 25,0,11, w, Wall7
<layer1>:Box2x2, 28,0,13, w, Wall7
<layer1>:Box2x2, 26,0,17, w, Wall7
<layer1>:Box2x2, 28,0,24, w, Wall7
<layer1>:Wall1x2, 28,0,26, n, Wall7
<layer1>:Wall1x1, 25,0,28, n, Wall7
<layer1>:Wall1x1, 27,0,30, n, Wall7
<layer1>:Wall1x2, 21,0,28, w, Wall7
<layer1>:Wall1x3, 21,0,4, w, Wall7
<layer1>:Wall1x4, 20,0,4, n, Wall7
<layer1>:Wall1x3, 17,0,1, n, Wall7
<layer1>:Box3x2, 15,0,6, n, Wall7
<layer1>:Box2x2, 17,0,10, w, Wall7
<layer1>:Box2x2, 19,0,10, w, Wall7
<layer1>:Wall1x5, 20,0,12, n, Wall7
<layer1>:Box2x2, 16,0,14, w, Wall7
<layer1>:Wall1x5, 16,0,16, n, Wall7
<layer1>:Wall1x1, 17,0,19, n, Wall7
<layer1>:Wall1x1, 20,0,19, n, Wall7
<layer1>:Wall1x4, 20,0,22, n, Wall7
<layer1>:Box2x2, 18,0,23, w, Wall7
<layer1>:Box2x2, 16,0,25, w, Wall7
<layer1>:Box2x2, 17,0,29, w, Wall7
<layer1>:Wall1x3, 14,0,28, n, Wall7
<layer1>:Box3x2, 13,0,3, w, Wall7
<layer1>:Box2x2, 13,0,10, w, Wall7
<layer1>:Box2x2, 12,0,14, w, Wall7
<layer1>:Box2x2, 12,0,18, w, Wall7
