<StartEvent>: StartMaze3
<ENABLESAVE>

<MapName>: _Maze 3_

<DRAWBACK>: 700
<LMOUSE>: 27
<HMOUSE>: 200
<FOG>: 0,100,0, 0

<OBJECT>: Wall1x5
<OBJECT>: Wall1x4
<OBJECT>: Wall1x3
<OBJECT>: Wall1x2
<OBJECT>: Wall1x1
<OBJECT>: Door1-1

<DUMMY>: D1,0,0,0

<CHARACTER>: Rozs, 34,0,2, n
<ANIMATION>: Wait, 1
<ANIMATION>: Walk, 8
<ANIMATION>: Run,  8
<ANIMATION>: Push, 8
<ANIMATION>: Dock, 8
<Character/>

//<SURFACE>:   Z1Ceiling, sky2,  -10,8,-10, 56,0,71, s
<SURFACE>:   Z3PLANE1,  stone3,  1,0,1, 35,0,30, s
<SURFACE>:   PLANEBox,  wall13,  1,0,1, 35,10,30, s

<layer1>:Wall1x2, 1,0,4, e, Wall7
<layer1>:Wall1x2, 1,0,7, e, Wall7
<layer1>:Wall1x2, 1,0,14, e, Wall7
<layer1>:Wall1x2, 1,0,15, e, Wall7
<layer1>:Wall1x3, 1,0,16, e, Wall7
<layer1>:Wall1x1, 1,0,19, e, Wall7
<layer1>:Wall1x2, 1,0,20, e, Wall7
<layer1>:Wall1x1, 1,0,21, e, Wall7
<layer1>:Wall1x2, 1,0,25, e, Wall7

<layer1>:Wall1x1, 3,0,1, n, Wall7
<layer1>:Wall1x2, 3,0,10, e, Wall7
<layer1>:Wall1x1, 3,0,11, n, Wall7
<layer1>:Wall1x3, 3,0,24, e, Wall7
<layer1>:Wall1x3, 3,0,28, n, Wall7

<layer1>:Wall1x1, 5,0,4, n, Wall7
<layer1>:Wall1x5, 5,0,7, n, Wall7
<layer1>:Wall1x1, 5,0,13, n, Wall7
<layer1>:Wall1x2, 5,0,20, n, Wall7

<layer1>:Wall1x5, 6,0,1, n, Wall7
<layer1>:Wall1x2, 6,0,6, n, Wall7
<layer1>:Wall1x2, 6,0,12, n, Wall7
<layer1>:Wall1x3, 6,0,17, n, Wall7
<layer1>:Wall1x4, 6,0,27, n, Wall7

<layer1>:Wall1x4, 7,0,13, n, Wall7
<layer1>:Wall1x5, 7,0,19, e, Wall7
<layer1>:Wall1x2, 7,0,27, e, Wall7

<layer1>:Wall1x1, 8,0,10, n, Wall7
<layer1>:Wall1x5, 8,0,22, n, Wall7

<layer1>:Wall1x3, 9,0,1, e, Wall7
<layer1>:Wall1x3, 9,0,7, e, Wall7
<layer1>:Wall1x4, 9,0,24, e, Wall7
<layer1>:Wall1x2, 9,0,27, n, Wall7

<layer1>:Wall1x2, 10,0,4, e, Wall7
<layer1>:Wall1x3, 10,0,13, n, Wall7

<layer1>:Wall1x3, 11,0,8, n, Wall7
<layer1>:Wall1x2, 11,0,16, e, Wall7
<layer1>:Wall1x2, 11,0,20, n, Wall7

<layer1>:Wall1x2, 12,0,17, n, Wall7
<layer1>:Wall1x2, 12,0,25, n, Wall7
<layer1>:Wall1x1, 12,0,27, n, Wall7
<layer1>:Wall1x1, 12,0,30, n, Wall7

<layer1>:Wall1x5, 13,0,13, e, Wall7

<layer1>:Wall1x5, 14,0,1, n, Wall7
<layer1>:Wall1x2, 14,0,8, n, Wall7
<layer1>:Wall1x1, 14,0,21, n, Wall7

<layer1>:Wall1x3, 15,0,1, e, Wall7
<layer1>:Wall1x3, 15,0,2, e, Wall7
<layer1>:Wall1x3, 15,0,10, e, Wall7
<layer1>:Wall1x3, 15,0,16, e, Wall7
<layer1>:Wall1x5, 15,0,17, e, Wall7
<layer1>:Wall1x5, 15,0,26, n, Wall7

<layer1>:Wall1x2, 16,0,25, e, Wall7

<layer1>:Wall1x3, 17,0,5, n, Wall7
<layer1>:Wall1x2, 17,0,14, n, Wall7
<layer1>:Wall1x3, 17,0,18, e, Wall7
<layer1>:Wall1x1, 17,0,19, n, Wall7
<layer1>:Wall1x3, 17,0,22, e, Wall7
<layer1>:Wall1x2, 17,0,26, n, Wall7

<layer1>:Wall1x3, 18,0,28, e, Wall7

<layer1>:Wall1x3, 19,0,19, n, Wall7

<layer1>:Wall1x5, 20,0,1, n, Wall7
<layer1>:Wall1x1, 20,0,6, n, Wall7
<layer1>:Wall1x4, 20,0,7, e, Wall7
<layer1>:Wall1x2, 20,0,10, n, Wall7
<layer1>:Wall1x4, 20,0,12, e, Wall7
<layer1>:Wall1x1, 20,0,14, n, Wall7
<layer1>:Wall1x2, 20,0,20, e, Wall7
<layer1>:Wall1x3, 20,0,25, e, Wall7
<layer1>:Wall1x2, 20,0,26, n, Wall7

<layer1>:Wall1x4, 22,0,17, n, Wall7

<layer1>:Wall1x4, 23,0,1, n, Wall7
<layer1>:Wall1x2, 23,0,16, e, Wall7
<layer1>:Wall1x3, 23,0,17, e, Wall7
<layer1>:Wall1x2, 23,0,23, e, Wall7
<layer1>:Wall1x2, 23,0,24, e, Wall7
<layer1>:Wall1x3, 23,0,28, n, Wall7

<layer1>:Wall1x1, 24,0,8, n, Wall7

<layer1>:Wall1x3, 25,0,9, e, Wall7
<layer1>:Wall1x2, 25,0,20, e, Wall7
<layer1>:Wall1x2, 25,0,25, e, Wall7

<layer1>:Wall1x3, 26,0,3, n, Wall7
<layer1>:Wall1x4, 26,0,6, e, Wall7
<layer1>:Wall1x2, 26,0,12, e, Wall7
<layer1>:Wall1x3, 26,0,26, n, Wall7

<layer1>:Wall1x2, 27,0,7, n, Wall7
<layer1>:Wall1x1, 27,0,13, n, Wall7
<layer1>:Wall1x3, 27,0,21, e, Wall7
<layer1>:Wall1x3, 27,0,22, e, Wall7

<layer1>:Wall1x3, 28,0,14, n, Wall7

<layer1>:Wall1x3, 29,0,1, n, Wall7
<layer1>:Wall1x2, 29,0,17, e, Wall7
<layer1>:Wall1x2, 29,0,18, e, Wall7
<layer1>:Wall1x1, 29,0,25, e, Wall7
<layer1>:Wall1x3, 29,0,28, n, Wall7

