<ENABLESAVE>

<MapName>: _Maze 4_

<DRAWBACK>: 700
<LMOUSE>: 27
<HMOUSE>: 200
<FOG>: 0,100,0, 0

<OBJECT>: Wall1x5
<OBJECT>: Wall1x4
<OBJECT>: Wall1x3
<OBJECT>: Wall1x2
<OBJECT>: Wall1x1
<OBJECT>: Door1-1
<OBJECT>: Cabinet2X1

<DUMMY>: D1,0,0,0

<CHARACTER>: Rozs, 29,0,2, n
<ANIMATION>: Wait, 1
<ANIMATION>: Walk, 8
<ANIMATION>: Run,  8
<ANIMATION>: Push, 8
<ANIMATION>: Dock, 8
<Character/>

//<SURFACE>:   Z1Ceiling, sky2,  -10,8,-10, 56,0,71, s
<SURFACE>:   Z3PLANE1,  stone3,  1,0,1, 30,0,30, s
<SURFACE>:   PLANEBox,  wall13,  1,0,1, 30,10,30, s

<layer1>:Wall1x2, 1,0,7, e, Wall7
<layer1>:Wall1x3, 1,0,10, e, Wall7
<layer1>:Wall1x3, 1,0,21, e, Wall7
<layer1>:Wall1x1, 1,0,22, n, Wall7
<layer1>:Wall1x2, 1,0,29, n, Wall7

<layer1>:Wall1x4, 2,0,4, e, Wall7
<layer1>:Wall1x2, 2,0,5, n, Wall7

<layer1>:Wall1x5, 3,0,11, n, Wall7
<layer1>:Wall1x3, 3,0,16, e, Wall7
<layer1>:Wall1x2, 3,0,19, n, Wall7
<layer1>:Wall1x3, 3,0,25, n, Wall7

<layer1>:Wall1x2, 4,0,3, e, Wall7
<layer1>:Wall1x3, 4,0,24, e, Wall7
<layer1>:Wall1x3, 4,0,27, e, Wall7

<layer1>:Wall1x5, 5,0,7, e, Wall7
<layer1>:Wall1x4, 5,0,12, n, Wall7

<layer1>:Wall1x2, 6,0,11, e, Wall7
<layer1>:Wall1x4, 6,0,20, n, Wall7
<layer1>:Wall1x1, 6,0,28, n, Wall7

<layer1>:Wall1x1, 7,0,10, n, Wall7
<layer1>:Wall1x2, 7,0,19, e, Wall7
<layer1>:Wall1x1, 7,0,22, n, Wall7

<layer1>:Wall1x2, 8,0,1, n, Wall7
<layer1>:Wall1x2, 8,0,5, e, Wall7
<layer1>:Wall1x2, 8,0,6, e, Wall7
<layer1>:Wall1x5, 8,0,14, e, Wall7
<layer1>:Wall1x5, 8,0,15, e, Wall7

<layer1>:Wall1x2, 9,0,3, n, Wall7
<layer1>:Wall1x5, 9,0,18, e, Wall7
<layer1>:Wall1x5, 9,0,19, e, Wall7
