<StartEvent>: Start-FSDulo
<ENABLESAVE>

<MapName>: _Fort Santiago Dulo_

<DRAWBACK>: 700
<LMOUSE>: 27
<HMOUSE>: 60
<FOG>: 0,500, 0, 0

<SOUND>: BoxMove
<OBJECT>: slight
<OBJECT>: tree
<OBJECT>: rizalhouse
<OBJECT>: fence4
<OBJECT>: door1-1
<OBJECT>: stair-1
<OBJECT>: blockx2
<OBJECT>: plant
<OBJECT>: grass
<OBJECT>: bench
<OBJECT>: snackarea
<OBJECT>: tree1
<OBJECT>: tree2
<OBJECT>: DaanPababa
<OBJECT>: Tunnel

<DUMMY>: D1,0,0,0
<DUMMY>: D2,28,0,6

<CHARACTER>: RozsF, 18,0,30, w
<ANIMATION>: Wait, 1
<ANIMATION>: Walk, 8
<ANIMATION>: Run,  8
<ANIMATION>: Push, 8
<ANIMATION>: Dock, 8

<CHARACTER>: GuardGun1, 11,0, 5, n
<ANIMATION>: Wait, 1

<CHARACTER>: Guard1, 5, 0, 28, s
<ANIMATION>: Wait, 1

<CHARACTER>: Guard3, 20,0, 12, e
<ANIMATION>: Wait, 1

<CHARACTER/>

<SURFACE>:   PlaneBox,  cloud-1, 1,0,1, 26,10,34, s
<SURFACE>:   Z4PLANE1, wall6,    1,0,1, 26,0,34, s
<SURFACE>:   Z1Ceiling, cloud-1, 1,10,1, 26,0,34, s

<AI>: Guard1, AIIdle, Wait, None
<AI>: Guard3, AIIdle, Wait, None

<EVENT>: TalkBrigido, 3,27, 3,3, 1,1
<EVENT>: TalkAngelo, 18,11, 3,3, 1,1

<SURFACE>:   Z1PLANE1, land-4,  11,0.01,7, 1,0,2, s
<SURFACE>:   Z1PLANE1, land-4,  12,0.01,8, 3,0,1, s
<SURFACE>:   Z1PLANE1, land-4,  15,0.01,8, 3,0,1, s
<SURFACE>:   Z2PLANE1, grass2,  21,0.01,16, 4,0,4, s
<SURFACE>:   Z2PLANE1, grass2,  21,0.01,20, 4,0,3, s

<SURFACE>:   Z1PLANE1, grass3,  7,0.02,16, 3,0,3, s
<SURFACE>:   Z1PLANE1, 104,  12,0.02,21, 1,0,1, s
<SURFACE>:   Z1PLANE1, 104,  12,0.02,22, 1,0,1, s
<SURFACE>:   Z1PLANE1, 104,  13,0.02,21, 1,0,1, s
<SURFACE>:   Z1PLANE1, 104,  13,0.02,22, 1,0,1, s
<SURFACE>:   Z1PLANE1, 104,  12,0.02,23, 1,0,1, s
<SURFACE>:   Z1PLANE1, 104,  13,0.02,23, 1,0,1, s
<SURFACE>:   Z2PLANE1, grass2,  18,0.02,27, 3,0,3, s
<SURFACE>:   Z1PLANE1, grass4,  4,0.02,25, 5,0,3, s
<SURFACE>:   Z1PLANE1, land-2,  4,0.02,6, 2,0,3, s
<SURFACE>:   Z1PLANE1, land-2  4,0.02,9, 2,0,3, s
<SURFACE>:   Z1PLANE1, land-2,  6,0.02,6, 2,0,3, s
<SURFACE>:   Z1PLANE1, 247,  21,0.02,1, 6,0,8, s

<layer1>:slight, 2,0,3, s, slight-2
<layer1>:slight, 2,0,8, s, slight-2
<layer1>:slight, 2,0,13, s, slight-2
<layer1>:slight, 2,0,18, s, slight-2
<layer1>:slight, 2,0,23, s, slight-2
<layer1>:slight, 2,0,28, s, slight-2
<layer1>:slight, 2,0,33, s, slight-2
<layer1>:slight, 7,0,33, e, slight-2
<layer1>:slight, 10,0,33, e, slight-2
<layer1>:slight, 16,0,33, e, slight-2
<layer1>:slight, 20,0,33, e, slight-2
<layer1>:slight, 25,0,33, e, slight-2
<layer1>:slight, 25,0,28, n, slight-2
<layer1>:slight, 25,0,23, n, slight-2
<layer1>:slight, 25,0,13, n, slight-2
<layer1>:slight, 22,0,11, n, slight-2
<layer1>:rizalhouse, 12,0,2, w, rizalhouse
<layer1>:door1-1, 11,0,5, n, door1-4
<layer1>:tree, 4,0,33, n, tree
<layer1>:plant, 20,0,15, n, plant1
<layer1>:plant, 20,0,22, n, plant1
<layer1>:plant, 20,0,19, n, plant1
<layer1>:plant, 22,0,15, e, plant1
<layer1>:plant, 22,0,23, w, plant1
<layer1>:plant, 25,0,15, n, plant1
<layer1>:plant, 25,0,22, n, plant1
<layer1>:plant, 10,0,10, e, plant1
<layer1>:plant, 16,0,10, e, plant1
<layer1>:plant, 13,0,10, e, plant1
<layer1>:plant, 10,0,7, n, plant1
<layer1>:plant, 10,0,3, n, plant1
<layer1>:tree, 22,0,19, n, tree
<layer1>:tree, 10,0,32, w, tree
<layer1>:grass, 12,0,8, e, grass2
<layer1>:grass, 13,0,8, e, grass2
<layer1>:grass, 14,0,8, e, grass2
<layer1>:grass, 15,0,8, e, grass2
<layer1>:grass, 16,0,8, e, grass2
<layer1>:grass, 11,0,7, n, grass2
<layer1>:grass, 11,0,8, n, grass2
<layer1>:bench, 25,0,9, n, wood2
<layer1>:bench, 25,0,11, n, wood2
<layer1>:snackarea, 3,0,30, w, wood23
<layer1>:snackarea, 5,0,32, s, wood23
<layer1>:snackarea, 8,0,32, n, wood23

<layer1>:fence4, 9,0,2, n, gray-1
<layer1>:fence4, 9,0,3, n, gray-1
<layer1>:fence4, 9,0,4, n, gray-1
<layer1>:fence4, 9,0,2, e, gray-1
<layer1>:fence4, 10,0,2, e, gray-1
<layer1>:fence4, 11,0,2, e, gray-1
<layer1>:fence4, 9,0,4, e, gray-1
<layer1>:fence4, 10,0,4, e, gray-1
<layer1>:fence4, 11,0,4, e, gray-1

<layer1>:fence4, 11,0,6, e, gray-1
<layer1>:fence4, 10,0,6, e, gray-1
<layer1>:fence4, 9,0,6, e, gray-1
<layer1>:fence4, 9,0,6, n, gray-1
<layer1>:fence4, 9,0,7, n, gray-1
<layer1>:fence4, 9,0,8, n, gray-1
<layer1>:fence4, 9,0,9, n, gray-1
<layer1>:fence4, 9,0,10, n, gray-1
<layer1>:fence4, 9,0,11, n, gray-1
<layer1>:fence4, 9,0,11, e, gray-1
<layer1>:fence4, 10,0,11, e, gray-1
<layer1>:fence4, 11,0,11, e, gray-1
<layer1>:fence4, 12,0,11, e, gray-1
