<STARTEVENT>: START-FSfront

<ENABLESAVE>

<MapName>: _Fort Santiago Front_

<DRAWBACK>: 700
<LMOUSE>: 27
<HMOUSE>: 60
<FOG>: 0,500, 0, 0

<OBJECT>: store
<OBJECT>: rizalhouse
<OBJECT>: tree
<OBJECT>: ordinaryhouse
<OBJECT>: door1-1
<OBJECT>: blockx2
<OBJECT>: fence2
<OBJECT>: bench
<OBJECT>: bench2
<OBJECT>: wall1x1
<OBJECT>: wall1x5
<OBJECT>: wall1x4
<OBJECT>: tunnel
<OBJECT>: grass
<OBJECT>: fence4
<OBJECT>: stair-1
<OBJECT>: SnackArea
<OBJECT>: plant
<OBJECT>: kubo
<OBJECT>: slight
<OBJECT>: SBoard
<layer1>:SBoard, 7,0,10,  s, Upstairs

<DUMMY>: D1,0,0,0
<DUMMY>: D2,28,0,6

<CHARACTER>: Rozs, 19,0,47, e
<ANIMATION>: Wait, 1
<ANIMATION>: Walk, 8
<ANIMATION>: Run,  8
<ANIMATION>: Push, 8
<ANIMATION>: Dock, 8

<CHARACTER>: GuardGun3, 22,0,47, e
<ANIMATION>: Wait, 1

<CHARACTER>: GuardGun1, 18,0,47, e
<ANIMATION>: Wait, 1

<CHARACTER>: CMan1, 13,0,40, n
<ANIMATION>: Wait, 1

<CHARACTER>: CMan2, 19,0,26, n
<ANIMATION>: Wait, 1

<CHARACTER>: CMan3, 5,0,16, n
<ANIMATION>: Wait, 1

<CHARACTER>: Josephine, 30,0,36, n
<ANIMATION>: Wait, 1

<CHARACTER/>

//Fort Santiago Front

<AI>: CMan1, AIIdle, Wait, None
<AI>: CMan2, AIIdle, Wait, None
<AI>: CMan3, AIIdle, Wait, None
<AI>: Josephine, AIIdle, Wait, None

<EVENT>: TalkFSMan1, 17,25, 3,3, 1,1
<EVENT>: TalkFSMan2, 11,39, 3,3, 1,1
<EVENT>: TalkFSMan3, 3,15, 3,3, 1,1
<EVENT>: TalkJosephine, 28,35, 3,3, 1,1

//Guard Stop
<EVENT>: GCStep, 18,46, 4,4, 0,1

<SURFACE>:   PlaneBox,  cloud-1, 1,0,1, 33,20,50, s
<SURFACE>:   Z2PLANE1, land-3,  1,0,1, 33,0,50, s
<SURFACE>:   Z1Ceiling, cloud-4,  1,0,1, 33,3,50, s

//the code of map begins

<SURFACE>:   z1PLANE1,  grass3,  3,0.01,14,   4,0,3, s
<SURFACE>:   z1PLANE1,  land-5,  5,0.01,20,   6,0,1, s

<SURFACE>:   z1PLANE1,  land-5,  7,0.01,30,   4,0,1, s
<SURFACE>:   z1PLANE1,  land-5,  25,0.01,23,   5,0,1, s
<SURFACE>:   z2PLANE1,  land-4,  27,0.01,29,   6,0,2, s
<SURFACE>:   z1PLANE1,  land-5,  25,0.01,17,   5,0,1, s
<SURFACE>:   z1PLANE1,  land-5,  25,0.01,11,   5,0,1, s
<SURFACE>:   z1PLANE1,  land-5,  25,0.01,5,   5,0,1, s

<SURFACE>:   z2PLANE1,  154,  2,0.01,2,   4,0,10, s

<SURFACE>:   z4PLANE1,  grass2,  3,0.01,35,   8,0,5, s

<SURFACE>:   z2PLANE1,  water2,  1,0.3,41.5,   12,0,3, s
<SURFACE>:   z2PLANE1,  water2,  18,0.3,41.5,   16,0,3, s

<SURFACE>:   z1PLANE1,  grass2,  13,0.01,24,   8,0,13, s
<SURFACE>:   z1PLANE1,  grass2,  13,0.01,11,   8,0,13, s

<SURFACE>:   z1PLANE1,  14,  11,0.01,9,   2,0,1, s
<SURFACE>:   z1PLANE1,  14,  11,0.01,10,   2,0,1, s
<SURFACE>:   z1PLANE1,  14,  11,0.01,11,   2,0,1, s
<SURFACE>:   z1PLANE1,  14,  11,0.01,12,   2,0,1, s
<SURFACE>:   z1PLANE1,  14,  11,0.01,13,   2,0,1, s
<SURFACE>:   z1PLANE1,  14,  11,0.01,14,   2,0,1, s
<SURFACE>:   z1PLANE1,  14,  11,0.01,15,   2,0,1, s
<SURFACE>:   z1PLANE1,  14,  11,0.01,16,   2,0,1, s
<SURFACE>:   z1PLANE1,  14,  11,0.01,17,   2,0,1, s
<SURFACE>:   z1PLANE1,  14,  11,0.01,18,   2,0,1, s
<SURFACE>:   z1PLANE1,  14,  11,0.01,19,   2,0,1, s
