<ENABLESAVE>

<MapName>: _Fort Santiago Main Gate_

<DRAWBACK>: 700
<LMOUSE>: 27
<HMOUSE>: 60
<FOG>: 0,490, 100, 0

<SOUND>: BoxMove
<OBJECT>: stair-2
<OBJECT>: grass
<OBJECT>: wall1x5
<OBJECT>: slight
<OBJECT>: wall1x4
<OBJECT>: tree
<OBJECT>: tree1
<OBJECT>: tree2
<OBJECT>: tunnel
<OBJECT>: fence5

<DUMMY>: D1,0,0,0
<DUMMY>: D2,28,0,6

<CHARACTER>: RozsF, 8,0,8, s
<ANIMATION>: Wait, 1
<ANIMATION>: Walk, 8
<ANIMATION>: Run,  8
<ANIMATION>: Push, 8
<ANIMATION>: Dock, 8

<CHARACTER>: GuardGun, 17,0,4, w
<ANIMATION>: Wait, 1

<CHARACTER>: GuardGun1, 19,0,4, w
<ANIMATION>: Wait, 1

<CHARACTER>: GuardGun2, 17,0,12, e
<ANIMATION>: Wait, 1

<CHARACTER>: GuardGun3, 19,0,12, e
<ANIMATION>: Wait, 1

<CHARACTER/>

//<SURFACE>:   PlaneBox,  163, 1,0,1, 30,10,15, s
<SURFACE>:   Z2PLANE1, land-3,  1,0,1, 30,0,16, s
<SURFACE>:   Z1Ceiling, cloud-1,  1,7,1, 30,0,16, s

<SURFACE>:   z1PLANE1,  land-2,  21,0.03,2,   5,0,1, s
<SURFACE>:   z1PLANE1,  land-2,  26,0.03,2,   4,0,1, s
<SURFACE>:   z1PLANE1,  land-2,  22,0.03,7,   8,0,3, s
<SURFACE>:   z1PLANE1,  land-2,  21,0.03,14,   5,0,1, s
<SURFACE>:   z1PLANE1,  land-2,  26,0.03,14,   4,0,1, s
<SURFACE>:   z1PLANE1,  land-2,  1,0.03,2,   6,0,3, s
<SURFACE>:   z1PLANE1,  land-2,  7,0.03,2,   4,0,2, s
<SURFACE>:   z1PLANE1,  land-2,  11,0.03,2,   4,0,2, s
<SURFACE>:   z1PLANE1,  land-2,  1,0.03,12,   6,0,3, s
<SURFACE>:   z1PLANE1,  land-2,  7,0.03,13,   4,0,2, s
<SURFACE>:   z1PLANE1,  land-2,  11,0.03,13,   4,0,2, s

<layer1>:tree, 2, 0, 3, s, tree
<layer1>:tree, 29,0, 8, n, tree
<layer1>:tree, 7, 0, 4, n, tree
<layer1>:tree1, 6, 0, 6, n, tree
<layer1>:tree1, 6, 0, 10, n, tree

<layer1>:grass, 2,0,12, w, grass2
<layer1>:grass, 3,0,12, w, grass2
<layer1>:grass, 4,0,12, w, grass2
<layer1>:grass, 5,0,12, w, grass2
<layer1>:grass, 6,0,12, w, grass2
<layer1>:grass, 2,0,2, s, grass2
<layer1>:grass, 2,0,3, s, grass2
<layer1>:grass, 2,0,4, s, grass2
<layer1>:grass, 2,0,13, w, grass2
<layer1>:grass, 2,0,14, w, grass2
<layer1>:grass, 3,0,2, s, grass2
<layer1>:grass, 3,0,3, s, grass2
<layer1>:grass, 3,0,4, s, grass2
<layer1>:grass, 3,0,13, w, grass2
<layer1>:grass, 3,0,14, w, grass2
<layer1>:grass, 4,0,2, s, grass2
<layer1>:grass, 4,0,3, s, grass2
<layer1>:grass, 4,0,4, s, grass2
<layer1>:grass, 4,0,13, w, grass2   
<layer1>:grass, 4,0,14, w, grass2
<layer1>:grass, 5,0,2, s, grass2
<layer1>:grass, 5,0,3, s, grass2
<layer1>:grass, 5,0,4, s, grass2
<layer1>:grass, 5,0,13, w, grass2
<layer1>:grass, 5,0,14, w, grass2
<layer1>:grass, 6,0,2, s, grass2
<layer1>:grass, 6,0,3, s, grass2
<layer1>:grass, 6,0,4, s, grass2
<layer1>:grass, 6,0,13, w, grass2
<layer1>:grass, 6,0,14, w, grass2
<layer1>:grass, 7,0,2, e, grass2
<layer1>:grass, 7,0,3, e, grass2
<layer1>:grass, 7,0,13, w, grass2
<layer1>:grass, 7,0,14, w, grass2
<layer1>:grass, 8,0,2, e, grass2
<layer1>:grass, 8,0,3, e, grass2
<layer1>:grass, 8,0,13, w, grass2
<layer1>:grass, 8,0,14, w, grass2
<layer1>:grass, 9,0,2, e, grass2
<layer1>:grass, 9,0,3, e, grass2
<layer1>:grass, 9,0,13, w, grass2
<layer1>:grass, 9,0,14, w, grass2
<layer1>:grass, 10,0,2, e, grass2
<layer1>:grass, 10,0,3, e, grass2
<layer1>:grass, 10,0,13, w, grass2
<layer1>:grass, 10,0,14, w, grass2
